,Date,Time,Message,Messenger
0,2020-03-19,17:50:42,Hello World,./payload.sh
1,2020-03-19,17:50:43,,ahmed
2,2020-03-19,17:50:50,,K20 Pro / Mi9T pro Mods [ EOL ]
3,2020-03-19,17:50:54,Halo,Om.
4,2020-03-19,17:51:01,Hai,ahmed
5,2020-03-19,17:51:03,,David
6,2020-03-19,17:51:04,hi,hsgod 🇵🇱
7,2020-03-19,17:51:05,=D,hsgod 🇵🇱
8,2020-03-19,17:51:06,Hello,𝐏𝐡ạ𝐦 𝐓𝐮ấ𝐧 𝐀𝐧𝐡ᵀᶦᵍᵉʳ ᴬᵗᵗᵃᶜᵏ
9,2020-03-19,17:51:09,Bby,Om.
10,2020-03-19,17:51:09,pro,hsgod 🇵🇱
11,2020-03-19,17:51:14,+,ahmed
12,2020-03-19,17:51:14,Halo frandz,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
13,2020-03-19,17:52:52,Can we change fingerprint icon in miui stock,Sheldon Lee Cooper
14,2020-03-19,17:53:16,Where did raven kernel gp go sur,ahmed
15,2020-03-19,17:53:22,nah,hsgod 🇵🇱
16,2020-03-19,17:53:24,hmm,hsgod 🇵🇱
17,2020-03-19,17:53:33,Ummmm,Percy Riptide
18,2020-03-19,17:53:34,Wat,ahmed
19,2020-03-19,17:53:36,,ahmed
20,2020-03-19,17:53:53,i deleted because i dont have skills xd,hsgod 🇵🇱
21,2020-03-19,17:54:00,By using theme,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
22,2020-03-19,17:54:01,Hai,Om.
23,2020-03-19,17:54:14,All admins done,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
24,2020-03-19,17:54:34,Adminism,Percy Riptide
25,2020-03-19,17:54:35,Watashi wa kitaa!,Saitama
26,2020-03-19,17:54:37,Custom??,Sheldon Lee Cooper
27,2020-03-19,17:55:07,"It's a bird! It's a plane! Nevermind, it's just Halim Gamal.",Saitama
28,2020-03-19,17:55:12,Check our chanel we hab one uploaded,𝘿𝙀𝘽𝘼𝙉𝙅𝘼𝙉 ◢ ◤ ᵒᵖ⁹ʳ
29,2020-03-19,17:55:28,Don't upload how to,Sheldon Lee Cooper
30,2020-03-19,17:55:38,MQD mi 9 kernel... fingerprint doesn't work on miui room,ankit pardhi
31,2020-03-19,17:55:46,goku has joined the battle bus.,Saitama
32,2020-03-19,17:55:50,beta miroom?,hsgod 🇵🇱
33,2020-03-19,17:55:56,.,Om.
34,2020-03-19,17:56:03,latest one,ankit pardhi
35,2020-03-19,17:56:10,"Welcome 𓆏, Avoid Punches if you can!",Saitama
36,2020-03-19,17:56:22,Dis just lasts 10 min,Sheldon Lee Cooper
